Date,Day,Month,Year,Average,Volume
24-Jan-12,24,1,12,25.23,2669732
8-Sep-10,8,9,10,18.25,28574184
10-Sep-10,10,9,10,18.59,15998964
29-Apr-11,29,4,11,28.12,2251082
21-Jan-10,21,1,10,19.57,73648940
2-Jan-13,2,1,13,82.64,709712
16-Aug-11,16,8,11,21.27,7230158
2-Aug-12,2,8,12,27.4,2117556
2-Aug-13,2,8,13,90.37,566511
10-Jun-14,10,6,14,91.2,1072546
2-Aug-11,2,8,11,24.34,7889328
10-Jun-13,10,6,13,81.61,1092802
10-Jun-10,10,6,10,17.78,53382704
10-Jun-11,10,6,11,24.76,4028048
23-Mar-11,23,3,11,25.33,2975454
20-May-13,20,5,13,89.91,816511
23-Mar-12,23,3,12,28.61,1939972
4-Jun-14,4,6,14,90.81,640274
3-Jul-13,3,7,13,84.23,294940
3-Jun-14,3,6,14,91.97,868615
3-Jun-13,3,6,13,79.87,1840850
3-Jul-14,3,7,14,115.86,545287
3-Jun-11,3,6,11,25.71,5312228
3-Jun-10,3,6,10,18.49,46928234
1-Jul-13,1,7,13,84.83,637733
13-Nov-13,13,11,13,124.29,866666
17-Sep-12,17,9,12,31.58,810370
7-Oct-10,7,10,10,20.34,24210924
13-Jul-10,13,7,10,18.13,38400988
2-Apr-12,2,4,12,29.38,1973282
25-Feb-14,25,2,14,127.14,1053478
28-Jul-14,28,7,14,102.93,674861
2-Apr-14,2,4,14,112.24,1623378
25-Feb-13,25,2,13,63.61,2377988
28-Jul-11,28,7,11,25.84,4253412
29-Apr-13,29,4,13,77.85,491925
19-Feb-10,19,2,10,18.83,38225368
19-Feb-13,19,2,13,69.03,835185
7-Apr-14,7,4,14,103.86,2567349
7-Dec-09,7,12,9,18.78,36877110
19-Feb-14,19,2,14,126.29,1273164
24-Mar-11,24,3,11,25.83,3564588
17-Oct-11,17,10,11,21.64,6354486
8-Jul-10,8,7,10,17.28,42894358
8-Jul-11,8,7,11,27.26,4976078
1-Jul-14,1,7,14,118.45,6744566
8-Jul-14,8,7,14,108.36,2551711
1-Jul-11,1,7,11,27.2,0
1-Jul-10,1,7,10,15.98,73722326
26-Jan-12,26,1,12,25.76,3655906
26-Jan-11,26,1,11,25.45,22080264
26-Jan-10,26,1,10,18.41,42412186
12-Nov-12,12,11,12,28.2,1324456
12-Nov-13,12,11,13,124.76,1325895
12-Nov-10,12,11,10,21.88,42296192
2-Dec-09,2,12,9,18.93,35858760
12-Nov-14,12,11,14,100.99,2260127
22-Dec-11,22,12,11,22.97,3025582
5-Jan-11,5,1,11,24.5,19947998
23-Dec-09,23,12,9,19.28,18438380
7-Jun-11,7,6,11,25.24,3660986
9-Sep-10,9,9,10,18.58,20592042
2-Sep-11,2,9,11,20.69,10545158
2-Sep-10,2,9,10,17.86,25041230
2-Sep-14,2,9,14,120.68,1089286
17-Aug-11,17,8,11,21.44,5546068
30-Dec-11,30,12,11,23.2,0
30-Dec-10,30,12,10,24.01,10252886
30-Dec-13,30,12,13,130.0,453430
23-Sep-10,23,9,10,19.21,31925654
25-Sep-13,25,9,13,101.2,757345
25-Sep-12,25,9,12,31.12,1432696
19-Jun-13,19,6,13,85.16,454537
19-Jun-12,19,6,12,27.12,1420362
19-Jun-14,19,6,14,101.81,711565
31-Mar-14,31,3,14,106.05,969809
25-Sep-14,25,9,14,121.81,1137960
13-May-14,13,5,14,89.65,986391
13-May-13,13,5,13,84.41,2335075
13-May-11,13,5,11,27.36,3525830
13-May-10,13,5,10,20.73,43329504
8-Mar-13,8,3,13,69.39,688135
8-Mar-12,8,3,12,27.41,2053610
8-Mar-11,8,3,11,26.34,3300552
23-Oct-14,23,10,14,116.99,799035
23-Oct-13,23,10,13,107.57,617032
23-Oct-12,23,10,12,29.54,3902776
19-Mar-14,19,3,14,116.79,653539
24-Nov-10,24,11,10,21.74,0
7-Apr-11,7,4,11,26.94,4544572
19-Mar-12,19,3,12,29.21,2257568
19-Mar-13,19,3,13,69.33,414674
25-Oct-11,25,10,11,22.64,6524436
12-Mar-13,12,3,13,69.16,476253
24-Dec-12,24,12,12,80.03,285740
24-Dec-13,24,12,13,128.09,1208786
13-Mar-12,13,3,12,28.36,3409882
13-Mar-13,13,3,13,69.8,1088046
6-Dec-11,6,12,11,23.27,3145796
5-Apr-12,5,4,12,28.72,2245040
13-Mar-14,13,3,14,113.74,1233726
30-Aug-11,30,8,11,21.77,10393070
26-Oct-10,26,10,10,21.14,29102382
21-Sep-10,21,9,10,19.71,51395694
7-Apr-10,7,4,10,21.55,29326044
20-Jun-14,20,6,14,102.18,666692
22-Aug-11,22,8,11,19.27,10719774
22-Aug-13,22,8,13,105.22,334219
22-Aug-12,22,8,12,29.41,1335818
11-Jul-13,11,7,13,93.63,1130936
8-Jul-13,8,7,13,92.16,1452447
11-Jul-11,11,7,11,26.59,4384982
4-Mar-14,4,3,14,124.82,1060682
4-Mar-13,4,3,13,69.76,3756089
4-Mar-11,4,3,11,26.61,5408918
11-Jul-14,11,7,14,104.33,527350
25-Jun-14,25,6,14,107.93,915255
22-Feb-13,22,2,13,67.0,596993
25-Jun-13,25,6,13,80.61,616897
22-Feb-11,22,2,11,26.58,5582536
22-Feb-10,22,2,10,18.95,27210208
2-Jul-12,2,7,12,27.33,2952574
2-Jul-13,2,7,13,85.08,356860
26-Aug-13,26,8,13,110.03,1177003
26-Aug-14,26,8,14,115.6,580988
2-Jul-14,2,7,14,116.31,1100015
17-Feb-12,17,2,12,27.27,2286986
9-Sep-14,9,9,14,120.61,1163998
26-Aug-10,26,8,10,16.83,43741866
17-Feb-10,17,2,10,18.57,32797626
23-Jun-11,23,6,11,24.7,7512222
26-Oct-12,26,10,12,29.4,2042932
7-Nov-11,7,11,11,23.15,4652978
