Date,Day,Month,Year,Average,Volume
24-Jan-14,24,1,14,78.58,108384437
24-Jan-11,24,1,11,47.45,143670548
3-Mar-10,3,3,10,29.86,93059694
24-Jan-13,24,1,13,65.23,365212953
24-Jan-12,24,1,12,60.36,136909311
8-Sep-10,8,9,10,37.36,131637114
10-Sep-10,10,9,10,37.59,96940319
29-Apr-11,29,4,11,49.91,251585929
21-Jan-10,21,1,10,30.02,152038565
2-Jan-13,2,1,13,78.56,140124866
16-Aug-11,16,8,11,54.34,124722122
2-Aug-12,2,8,12,86.48,83062203
2-Aug-13,2,8,13,65.72,68695326
10-Jun-14,10,6,14,94.4,62777042
2-Aug-11,2,8,11,55.75,250968788
10-Jun-13,10,6,13,63.2,112589043
10-Jun-10,10,6,10,35.3,194088937
10-Jun-11,10,6,11,46.91,108529400
23-Mar-11,23,3,11,48.38,93248498
20-May-13,20,5,13,62.53,112893984
23-Mar-12,23,3,12,85.45,107621815
4-Jun-14,4,6,14,91.65,83870521
3-Jul-13,3,7,13,60.08,60232158
3-Jun-14,3,6,14,90.47,73231620
3-Jun-13,3,6,13,64.05,93087841
3-Jul-14,3,7,14,93.75,22891753
3-Jun-11,3,6,11,49.07,78360765
3-Jun-10,3,6,10,37.65,162539314
1-Jul-13,1,7,13,58.05,97793045
13-Nov-13,13,11,13,74.21,49304927
17-Sep-12,17,9,12,99.77,99507499
7-Oct-10,7,10,10,41.32,102099277
13-Jul-10,13,7,10,36.1,297738658
2-Apr-12,2,4,12,87.13,149586458
25-Feb-14,25,2,14,75.07,58247350
28-Jul-14,28,7,14,98.41,55317689
2-Apr-14,2,4,14,77.45,45104871
25-Feb-13,25,2,13,64.09,93144464
28-Jul-11,28,7,11,56.02,148506092
29-Apr-13,29,4,13,60.86,160081110
19-Feb-10,19,2,10,28.85,103933466
19-Feb-13,19,2,13,65.63,108944213
7-Apr-14,7,4,14,75.15,72462530
7-Dec-09,7,12,9,27.31,178689658
19-Feb-14,19,2,14,77.26,78554420
24-Mar-11,24,3,11,48.99,101177720
17-Oct-11,17,10,11,60.16,171510696
8-Jul-10,8,7,10,37.09,184537661
8-Jul-11,8,7,11,50.9,122481639
1-Jul-14,1,7,14,93.56,38223477
8-Jul-14,8,7,14,95.58,65221678
1-Jul-11,1,7,11,48.46,108828209
1-Jul-10,1,7,10,35.75,255738140
26-Jan-12,26,1,12,63.75,81057711
26-Jan-11,26,1,11,49.07,126716779
26-Jan-10,26,1,10,29.58,466777486
12-Nov-12,12,11,12,78.22,128950479
12-Nov-13,12,11,13,74.24,51114651
12-Nov-10,12,11,10,44.43,198961462
2-Dec-09,2,12,9,28.29,178814706
12-Nov-14,12,11,14,110.36,46942431
22-Dec-11,22,12,11,56.82,50589112
5-Jan-11,5,1,11,47.41,63879193
23-Dec-09,23,12,9,28.8,86380987
7-Jun-11,7,6,11,47.87,132493060
9-Sep-10,9,9,10,37.77,109643597
2-Sep-11,2,9,11,53.52,109791514
2-Sep-10,2,9,10,35.86,103856298
2-Sep-14,2,9,14,103.2,53564262
17-Aug-11,17,8,11,54.48,110514943
30-Dec-11,30,12,11,57.8,44943710
30-Dec-10,30,12,10,46.35,39414991
30-Dec-13,30,12,13,79.44,63407722
23-Sep-10,23,9,10,41.21,196528871
25-Sep-13,25,9,13,69.35,79239167
25-Sep-12,25,9,12,97.41,129690449
19-Jun-13,19,6,13,61.04,77757785
19-Jun-12,19,6,12,83.71,90350932
19-Jun-14,19,6,14,91.95,35527686
31-Mar-14,31,3,14,76.88,42167188
25-Sep-14,25,9,14,99.2,100091990
13-May-14,13,5,14,84.68,39934594
13-May-13,13,5,13,64.84,79277310
13-May-11,13,5,11,49.02,81547956
13-May-10,13,5,10,37.25,149927526
8-Mar-13,8,3,13,61.63,97898983
8-Mar-12,8,3,12,76.85,129110723
8-Mar-11,8,3,11,50.72,89078955
23-Oct-14,23,10,14,104.4,71074674
23-Oct-13,23,10,13,74.59,78431122
23-Oct-12,23,10,12,88.93,176786197
19-Mar-14,19,3,14,76.03,56188958
24-Nov-10,24,11,10,44.78,103568136
7-Apr-11,7,4,11,48.31,93361520
19-Mar-12,19,3,12,85.37,225308790
19-Mar-13,19,3,13,65.12,131693310
25-Oct-11,25,10,11,57.38,107650200
12-Mar-13,12,3,13,61.8,116477473
24-Dec-12,24,12,12,74.41,43936977
24-Dec-13,24,12,13,81.27,41888735
13-Mar-12,13,3,12,80.34,172712659
13-Mar-13,13,3,13,61.31,101454192
6-Dec-11,6,12,11,55.98,70951013
5-Apr-12,5,4,12,89.96,160318858
13-Mar-14,13,3,14,76.32,64435609
30-Aug-11,30,8,11,55.58,104480264
26-Oct-10,26,10,10,43.94,98232337
21-Sep-10,21,9,10,40.64,167418881
7-Apr-10,7,4,10,34.32,157125031
20-Jun-14,20,6,14,91.55,100898066
22-Aug-11,22,8,11,51.46,133826210
22-Aug-13,22,8,13,71.85,61051676
22-Aug-12,22,8,12,94.3,141330637
11-Jul-13,11,7,13,60.7,81618964
8-Jul-13,8,7,13,59.53,74578420
11-Jul-11,11,7,11,50.82,110713974
4-Mar-14,4,3,14,75.81,64884834
4-Mar-13,4,3,13,60.54,145684399
4-Mar-11,4,3,11,51.36,113316483
11-Jul-14,11,7,14,95.33,34018228
25-Jun-14,25,6,14,90.23,36868541
22-Feb-13,22,2,13,64.22,82663644
25-Jun-13,25,6,13,57.68,78584786
22-Feb-11,22,2,11,48.71,218135561
22-Feb-10,22,2,10,28.73,97706168
2-Jul-12,2,7,12,84.08,100022776
2-Jul-13,2,7,13,59.27,117521579
26-Aug-13,26,8,13,71.95,82741050
26-Aug-14,26,8,14,101.17,33151984
2-Jul-14,2,7,14,93.62,28465073
17-Feb-12,17,2,12,71.9,133947191
9-Sep-14,9,9,14,99.07,189846255
26-Aug-10,26,8,10,34.71,116625803
17-Feb-10,17,2,10,29.0,109098710
23-Jun-11,23,6,11,46.43,139939254
26-Oct-12,26,10,12,86.37,254605834
7-Nov-11,7,11,11,56.99,67565799
12-Jan-11,12,1,11,49.07,75644310
12-Jan-12,12,1,12,60.19,53180911
25-Aug-11,25,8,11,52.83,217825076
18-Jun-14,18,6,14,92.02,33514108
15-Apr-10,15,4,10,35.33,94195920
12-Jun-13,12,6,13,62.3,66356668
15-Feb-11,15,2,11,51.3,71043441
1-Mar-11,1,3,11,50.29,114032163
15-Feb-13,15,2,13,66.4,97981177
1-Mar-13,1,3,13,62.02,138111792
19-Aug-13,19,8,13,72.49,127629481
9-Jan-14,9,1,14,77.34,69905199
19-Aug-11,19,8,11,51.47,193970546
16-Jan-13,16,1,13,71.53,172700045
16-Jan-14,16,1,14,79.2,57471330
9-Jan-13,9,1,13,74.3,101899959
19-Aug-14,19,8,14,99.98,69399270
16-Dec-10,16,12,10,45.9,80507098
17-Nov-14,17,11,14,114.71,46746712
17-Nov-11,17,11,11,54.34,120030148
17-Nov-10,17,11,10,42.98,119862407
10-Dec-10,10,12,10,45.7,65644243
20-Jan-10,20,1,10,30.42,153037892
22-Jul-14,22,7,14,94.6,55196597
18-May-12,18,5,12,76.07,183072463
22-Jul-11,22,7,11,55.87,129181885
22-Jul-10,22,7,10,36.86,161329322
22-Jul-13,22,7,13,61.1,51997596
11-Oct-10,11,10,10,42.21,106937733
10-Jan-12,10,1,12,60.59,64581762
20-Jan-12,20,1,12,60.53,103492249
24-Feb-10,24,2,10,28.51,115141376
30-Apr-10,30,4,10,37.93,135615676
21-Mar-12,21,3,12,86.3,161010374
1-Nov-13,1,11,13,74.45,68722304
1-Nov-12,1,11,12,85.42,90361922
